epoch,train_loss,val_loss,accuracy,precision,recall,f1,iou,dice,time
1,1.149868552173887,0.8796292841434479,0.8513843205970103,0.5629008269025061,0.7764428922444289,0.597409029341151,0.474647575304134,0.5974094630320775,37.26274561882019
2,0.6230092043323177,0.4402561020106077,0.9322010250542108,0.7532263744392229,0.8993719513611373,0.8130407424678824,0.6997906946478117,0.8130412338908882,34.99196767807007
3,0.32129995045917376,0.21262794360518456,0.9656686557559516,0.8613430157887573,0.9505841583692517,0.9018842706814804,0.8262769784800369,0.9018847683374771,33.6503849029541
4,0.17471298229481494,0.12080644583329558,0.976749720535879,0.9196124019238262,0.9378130983641867,0.9276874235741706,0.8680670335779125,0.9276879230062672,34.12382912635803
5,0.11251849135650056,0.09304122789762914,0.9799443342554288,0.9336991599661913,0.9341082652918048,0.9338286217059938,0.8784671607955369,0.9338291216648852,33.81547141075134
6,0.08656584025759782,0.0646989953238517,0.9843361621766579,0.9330554751473721,0.9609514152874663,0.9463386524812463,0.9000843570558436,0.9463391521275865,33.92423129081726
7,0.07174159726127982,0.05521774268709123,0.9861266068586214,0.9539314764301099,0.9414314022276606,0.9474836604922291,0.9023991363807649,0.9474841603834306,33.75158095359802
8,0.05870538790311132,0.051816651481203735,0.9861682080847072,0.9365487693715017,0.9693704134804806,0.9523887153469093,0.9106665886620421,0.9523892150437906,34.11472725868225
9,0.053458507671686153,0.047011284972541034,0.9861001442736528,0.9466849703244531,0.9450010108920729,0.9457013751256742,0.8995489290360733,0.9457018750488727,33.825188398361206
10,0.05093325721099973,0.04864889301825315,0.9852939515601932,0.9249158665300614,0.9772699070965823,0.9498062350977703,0.9061390817816659,0.949806734406243,34.09917640686035
11,0.04508332449144551,0.03765481570735574,0.9883925971083753,0.9422794066091011,0.9746349605540083,0.9579701168688427,0.9206982852294612,0.9579706166094164,34.19002985954285
12,0.04228237593945648,0.03626149648334831,0.9888876066433163,0.9495044596361929,0.9705355581428075,0.9597943869431621,0.9239452443311232,0.9597948868247504,34.15608191490173
13,0.03820549211065684,0.03630983456969261,0.9882921534260427,0.9484402189974516,0.9662215554779642,0.9571147978173496,0.9192024660478298,0.9571152977043266,34.03127574920654
14,0.041580324892752936,0.04043865099083632,0.9872660599355623,0.9322742964837252,0.9704567210265624,0.9504383979924723,0.9076513796518874,0.9504388974847431,35.25633001327515
15,0.038147149075354846,0.04654956702142954,0.9835741538701095,0.9237092793262548,0.9749345813377935,0.9479225787109312,0.9026395282394999,0.947923077960953,35.34317207336426
16,0.04337042496938791,0.03600922040641308,0.9882121949683963,0.9547539992771318,0.9606755939120973,0.9576407547547668,0.9200352726514239,0.9576412547160852,35.38559317588806
17,0.03741444816945919,0.03440960869193077,0.9888176505021223,0.943539984112297,0.9688362271971925,0.95580377223668,0.9170427853479283,0.9558042720284147,35.52682709693909
18,0.033772458821269016,0.03429274255177006,0.9883607579028513,0.949935299700894,0.967309145481703,0.9583903049170815,0.9213879382399014,0.958390804795768,35.30540370941162
19,0.033729409033964784,0.032467682380229235,0.9886711300827387,0.9634295572289959,0.9409453595693771,0.9516639794227374,0.9103070028458381,0.9516644791331522,34.8841347694397
20,0.030163014141310538,0.030068241176195443,0.9896048598402128,0.9516353131862664,0.9710231013935893,0.9611547821415689,0.9264576139493915,0.9611552820491762,34.8721079826355
