epoch,train_loss,val_loss,accuracy,precision,recall,f1,iou,dice,time
1,0.2675761332336281,0.09008329804055393,0.9740071934977854,0.8990633475275921,0.953567436016058,0.9235276303901866,0.8610983362421161,0.9235281288401386,38.80743670463562
2,0.09744833409786224,0.07821362907998264,0.9716624462698388,0.914250902501016,0.9153054520303314,0.9146267841833632,0.8467024318185304,0.9146272840974183,38.27876949310303
3,0.07604035269469023,0.049190937425009906,0.9832763972244863,0.9313530826449313,0.9474418781473087,0.9392703579457352,0.8881783879281544,0.9392708578758562,35.8864963054657
4,0.05906348346200373,0.037839008728042245,0.9871294216846856,0.94929910120519,0.9576513637032756,0.953406864967679,0.9125658654049822,0.9534073649319014,36.08005619049072
5,0.04389082743520183,0.047419568873010576,0.9820417269008366,0.9403126092516025,0.9473539294313279,0.9436826330066803,0.8952458418509271,0.9436831329253614,36.45861339569092
6,0.054445911365162046,0.04196390532888472,0.9853548365315115,0.9561934175176257,0.9354139637557813,0.9455200079305883,0.8988713549553178,0.9455205077744666,36.45631980895996
7,0.04501256210330341,0.03654441237449646,0.9869583009734867,0.9428664838420651,0.9661289750188851,0.9541101629869707,0.9137270924859054,0.9541106627776462,36.83334994316101
8,0.03459161258901337,0.032904879946727306,0.9879907022310993,0.9427787618435679,0.9707029766366575,0.9562951481333272,0.9177093483330196,0.9562956478932109,36.84851837158203
9,0.04261150405675705,0.04221177729777992,0.985438038983683,0.941964817675565,0.9662945192036593,0.9536786929763501,0.9127624845526823,0.9536791927364944,36.91098213195801
10,0.03161903959698975,0.03163936291821301,0.9883269963302012,0.9584384386309073,0.9564061374516024,0.9574188288795965,0.9196768935731153,0.9574193288780464,37.0501594543457
11,0.03269146931623774,0.03269229066791013,0.9881882254532942,0.9504172133755983,0.9677336238384662,0.9589282004986585,0.922267985808196,0.958928700420374,36.84258222579956
12,0.03002280050090381,0.030165176780428737,0.9882255313903328,0.950496377835054,0.9636932043870052,0.9568578549524641,0.9186727377081939,0.9568583548249926,37.01066279411316
13,0.026597366302407215,0.031013987376354635,0.9882996927096149,0.9652816336993965,0.9517013345076325,0.9584012821704194,0.9213357870328306,0.9584017821229728,38.64496350288391
14,0.03547940957027355,0.03414639743277803,0.9884857117660403,0.9514489431984777,0.9702889932084,0.9607054662966052,0.9254236495427898,0.9607059662102612,37.62867546081543
15,0.029959436456140662,0.03199164068792015,0.9884555846687377,0.9547308598200037,0.954027051971309,0.9539248712063917,0.9139199739522909,0.9539253709637668,37.985999584198
16,0.02598467450921557,0.028458856395445764,0.9897044024129552,0.9552995230979952,0.9716514218875183,0.9632761454861535,0.9301503133433782,0.9632766453801983,37.001031160354614
17,0.0244008136380996,0.028723677445668727,0.9889274356872078,0.9609814896942629,0.9561882212175193,0.9585736763251119,0.921818792548985,0.9585741763194172,37.37365388870239
18,0.02413641010311299,0.030037822551093996,0.989097174697035,0.9512916919587179,0.9661824558347479,0.9585983548160281,0.9219654896587809,0.9585988547437809,37.36893820762634
19,0.02285104277377416,0.03006107860710472,0.9896347166046383,0.9487219419208511,0.9744418816709352,0.961250192211842,0.9266342404758432,0.9612506920349689,37.48160767555237
20,0.023581421019376388,0.027506951068062335,0.9897926210418461,0.9622691992254833,0.9632534352563735,0.962750210945818,0.9292489366839521,0.9627507109402594,39.05119442939758
